ที่,ประเภท อปท.,ชื่อ,ตำบล,อำเภอ,จังหวัด,ป่าสงวนฯ,ปีที่ถ่ายโอนภารกิจ,พื้นที่รับผิดชอบ,ชื่อหน่วยงาน,lat,long,พื้นที่เสี่ยง,บันทึกกรมป่าไม้,บันทึกกรมอุทยาน,แผนที่
1,เทศบาลตำบล,เกาะกลาง,เกาะกลาง,เกาะลันตา,กระบี่,"5,087.22",2548,สจป.12 สาขากระบี่,เทศบาลตำบลเกาะกลาง,7.7291452,99.0908484,5,,https://drive.google.com/file/d/1M8QJJP4i08UL04K1ygII-FFJSvTKnRWT/view?usp=sharing,https://drive.google.com/file/d/1AgLNDA3pYKc_2U7jZ3_SwvvQ4y6JWE1z/view?usp=sharing
2,องค์การบริหารส่วนตำบล,เกาะลันตาน้อย,เกาะลันตาน้อย,เกาะลันตา,กระบี่,"8,863.17",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเกาะลันตาน้อย,7.6711355,99.0427209,5,,https://drive.google.com/file/d/1rNwcxqbrX6unE3zsvcqMJuQr_HXOJgrh/view?usp=sharing,https://drive.google.com/file/d/1C4VpasQnMHfnesyHPkk33-8Crctvx5UN/view?usp=drive_link
3,องค์การบริหารส่วนตำบล,เกาะลันตาใหญ่,เกาะลันตาใหญ่,เกาะลันตา,กระบี่,"7,064.69",2555,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเกาะลันตาใหญ่,7.5459769,99.0459046,0,https://drive.google.com/file/d/1dY9nvW8pb7yjGStlO1Z7LHWObGIPm1eU/view?usp=drive_link,,
4,เทศบาลตำบล,คลองยาง,คลองยาง,เกาะลันตา,กระบี่,"5,087.22",2549,สจป.12 สาขากระบี่,เทศบาลตำบลคลองยาง,7.7964563,99.0800215,0,,https://drive.google.com/file/d/1rNRZowl8dk2SEktP6Dgvcj6E4T27Rw4L/view?usp=sharing,
5,เทศบาลตำบล,ศาลาด่าน,ศาลาด่าน,เกาะลันตา,กระบี่,"7,748.18",2548,สจป.12 สาขากระบี่,เทศบาลตำบลศาลาด่าน,7.591131,99.033758,0,,https://drive.google.com/file/d/1XMFxvaKrcNyXVGV6G6c5PY7NQajI2sdO/view?usp=sharing,
6,องค์การบริหารส่วนตำบล,เขาดิน,เขาดิน,เขาพนม,กระบี่,"15,803.42",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเขาดิน,8.3408255,99.0563611,5,,https://drive.google.com/file/d/1wMMpGmRLdk8D0muHq9n4znDorg3IZ_4j/view?usp=sharing,https://drive.google.com/file/d/1fnreX8GOHlcXz9PDd-mYnAkdQywY04Qs/view?usp=drive_link
7,องค์การบริหารส่วนตำบล,เขาพนม,เขาพนม,เขาพนม,กระบี่,"5,991.83",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลเขาพนม,8.2292341,99.0347499,0,,https://drive.google.com/file/d/1Qyp70gNeGb_npAtnszr2SKsM01nwYyEm/view?usp=sharing,
8,องค์การบริหารส่วนตำบล,โคกหาร,โคกหาร,เขาพนม,กระบี่,"11,335.37",2550,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลโคกหาร,8.197458,99.307675,5,,https://drive.google.com/file/d/1khJCbU2YZlDWU5TGAvy-7D_X4DY3pcH8/view?usp=sharing,https://drive.google.com/file/d/1pjQnvxgWtvi4sNuMhi3S_3sqvl4JBZp3/view?usp=drive_link
9,องค์การบริหารส่วนตำบล,พรุเตียว,พรุเตียว,เขาพนม,กระบี่,"9,191.37",2548,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลพรุเตียว,8.257003,99.081164,5,,https://drive.google.com/file/d/10Ue_4g0Rx3Fv6pXUCOzAJmebSRzY-IID/view?usp=sharing,https://drive.google.com/file/d/1HiRsmj0rMKWoWAx3_m2VoeOqb8cgPI3A/view?usp=drive_link
10,องค์การบริหารส่วนตำบล,สินปุน,สินปุน,เขาพนม,กระบี่,"3,817.32",2550,สจป.12 สาขากระบี่,องค์การบริหารส่วนตำบลสินปุน,8.2524889,99.2747363,5,,https://drive.google.com/file/d/1nz3AcCKq8bToRahH6qMhgYW3V2ZCrPgS/view?usp=sharing,https://drive.google.com/file/d/1ueaHNO-OAzARuQDh9Er3VwPQUuEPMdET/view?usp=drive_link
